machine,mesh,backend,nodes,units,unit_kind,dt_s,s_per_step,sypd,steps,gmredi
LUMI_MI250X,core2,GPU,2,16,GCD,1800,0.1129,43.6803,200,on
LUMI_MI250X,core2,GPU,4,32,GCD,1800,0.1062,46.4360,200,on
LUMI_MI250X,core2,GPU,8,64,GCD,1800,0.1037,47.5555,200,on
LUMI_MI250X,core2,GPU,16,128,GCD,1800,0.1203,40.9934,200,on
LUMI_MI250X,core2,CPU,1,128,rank,1800,0.1823,27.0516,200,on
LUMI_MI250X,core2,CPU,2,256,rank,1800,0.0948,52.0201,200,on
LUMI_MI250X,core2,CPU,4,512,rank,1800,0.0590,83.5849,200,on
LUMI_MI250X,ng5,GPU,2,16,GCD,180,3.3548,0.1470,35,on
LUMI_MI250X,ng5,GPU,4,32,GCD,180,1.6149,0.3054,35,on
LUMI_MI250X,ng5,GPU,8,64,GCD,180,0.8870,0.5560,35,on
LUMI_MI250X,ng5,GPU,16,128,GCD,180,0.4894,1.0077,35,on
LUMI_MI250X,ng5,GPU,32,256,GCD,180,0.2964,1.6638,35,on
LUMI_MI250X,ng5,CPU,2,256,rank,240,8.4047,0.0782,35,on
LUMI_MI250X,ng5,CPU,4,512,rank,240,4.2788,0.1537,35,on
LUMI_MI250X,ng5,CPU,8,1024,rank,240,2.2498,0.2923,35,on
LUMI_MI250X,ng5,CPU,16,2048,rank,240,1.1321,0.5808,35,on
JUPITER_GH200,core2,GPU,2,8,H100,1800,0.0562,87.7492,200,on
JUPITER_GH200,core2,GPU,4,16,H100,1800,0.0576,85.6164,200,on
JUPITER_GH200,core2,GPU,8,32,H100,1800,0.0548,89.9910,200,on
JUPITER_GH200,core2,GPU,16,64,H100,1800,0.0546,90.3206,200,on
JUPITER_GH200,core2,CPU,1,128,rank,1800,0.1062,46.4360,200,on
JUPITER_GH200,core2,CPU,2,256,rank,1800,0.0691,71.3677,200,on
JUPITER_GH200,core2,CPU,4,512,rank,1800,0.0515,95.7574,200,on
JUPITER_GH200,ng5,GPU,2,8,H100,180,0.9640,0.5116,55,on
JUPITER_GH200,ng5,GPU,4,16,H100,180,0.5410,0.9116,55,on
JUPITER_GH200,ng5,GPU,8,32,H100,180,0.3200,1.5411,55,on
JUPITER_GH200,ng5,GPU,16,64,H100,180,0.1960,2.5161,55,on
JUPITER_GH200,ng5,GPU,32,128,H100,180,0.1400,3.5225,55,on
JUPITER_GH200,ng5,CPU,2,256,rank,180,3.5410,0.1393,35,on
JUPITER_GH200,ng5,CPU,4,512,rank,180,1.8158,0.2716,35,on
JUPITER_GH200,ng5,CPU,8,1024,rank,180,1.1055,0.4461,35,on
JUPITER_GH200,ng5,CPU,16,2048,rank,180,0.5591,0.8820,35,on
