mesh,nodes,gpus,nod2d_per_gpu,rep,s_per_step,dt_s
ng5,2,8,926k,1,0.9578,180
ng5,2,8,926k,10,0.9555,180
ng5,2,8,926k,2,0.9553,180
ng5,2,8,926k,3,0.9603,180
ng5,2,8,926k,4,0.9723,180
ng5,2,8,926k,5,0.9838,180
ng5,2,8,926k,6,0.9640,180
ng5,2,8,926k,7,0.9550,180
ng5,2,8,926k,8,0.9652,180
ng5,2,8,926k,9,0.9735,180
ng5,4,16,463k,1,0.5287,180
ng5,4,16,463k,10,0.5284,180
ng5,4,16,463k,2,0.5399,180
ng5,4,16,463k,3,0.5289,180
ng5,4,16,463k,4,0.5396,180
ng5,4,16,463k,5,0.5302,180
ng5,4,16,463k,6,0.5386,180
ng5,4,16,463k,7,0.5798,180
ng5,4,16,463k,8,0.5727,180
ng5,4,16,463k,9,0.5275,180
ng5,8,32,231k,1,0.3432,180
ng5,8,32,231k,10,0.3202,180
ng5,8,32,231k,2,0.3079,180
ng5,8,32,231k,3,0.3074,180
ng5,8,32,231k,4,0.3077,180
ng5,8,32,231k,5,0.3156,180
ng5,8,32,231k,6,0.3662,180
ng5,8,32,231k,7,0.3075,180
ng5,8,32,231k,8,0.3081,180
ng5,8,32,231k,9,0.3174,180
ng5,16,64,116k,1,0.2038,180
ng5,16,64,116k,10,0.1949,180
ng5,16,64,116k,2,0.1972,180
ng5,16,64,116k,3,0.2104,180
ng5,16,64,116k,4,0.1924,180
ng5,16,64,116k,5,0.1995,180
ng5,16,64,116k,6,0.1839,180
ng5,16,64,116k,7,0.1833,180
ng5,16,64,116k,8,0.1833,180
ng5,16,64,116k,9,0.2064,180
ng5,32,128,58k,1,0.1287,180
ng5,32,128,58k,10,0.1296,180
ng5,32,128,58k,2,0.1302,180
ng5,32,128,58k,3,0.1621,180
ng5,32,128,58k,4,0.1445,180
ng5,32,128,58k,5,0.1324,180
ng5,32,128,58k,6,0.1318,180
ng5,32,128,58k,7,0.1299,180
ng5,32,128,58k,8,0.1531,180
ng5,32,128,58k,9,0.1622,180
ng5,64,256,29k,1,0.1078,180
ng5,64,256,29k,10,0.1077,180
ng5,64,256,29k,2,0.1620,180
ng5,64,256,29k,3,0.1626,180
ng5,64,256,29k,4,0.1628,180
ng5,64,256,29k,5,0.1566,180
ng5,64,256,29k,6,0.1135,180
ng5,64,256,29k,7,0.1664,180
ng5,64,256,29k,8,0.1207,180
ng5,64,256,29k,9,0.1043,180
ng5,128,512,14k,1,0.1200,180
ng5,128,512,14k,10,0.2396,180
ng5,128,512,14k,2,0.0898,180
ng5,128,512,14k,3,0.0864,180
ng5,128,512,14k,4,0.1310,180
ng5,128,512,14k,6,0.0902,180
ng5,256,1024,7.2k,1,0.1604,180
ng5,512,2048,3.6k,1,0.5792,180
