job,mesh,ranks,nodes,steps,lever,cfg,wsplit,base,best,gain_pct,rejected,fallbacks_best,void_mixture,md5,mtime
1390933,core2,4,1,300,base,paper+wsplit0,wsplit0,0.0444,,,0,0,False,fab4919c,1786898152
1390934,core2,8,2,300,base,paper+wsplit0,wsplit0,0.0409,,,0,0,False,fab4919c,1786898133
1390935,core2,16,4,300,base,paper+wsplit0,wsplit0,0.0419,,,0,0,False,fab4919c,1786898128
1390936,core2,32,8,300,base,paper+wsplit0,wsplit0,0.0418,,,0,0,False,fab4919c,1786898122
1390937,core2,64,16,300,base,paper+wsplit0,wsplit0,0.0431,,,0,0,False,fab4919c,1786898122
1391325,core2,4,1,300,evpwide,paper+wsplit0,wsplit0,0.0447,,,2,0,False,fab4919c,1786903271
1391933,core2,4,1,300,evpwide,paper+wsplit0,wsplit0,0.0447,0.0418,-6.49,0,0,False,0cad3289,1786907538
1391326,core2,8,2,300,evpwide,paper+wsplit0,wsplit0,0.0401,,,2,0,False,fab4919c,1786903110
1391934,core2,8,2,300,evpwide,paper+wsplit0,wsplit0,0.0402,0.0375,-6.72,0,0,False,0cad3289,1786907509
1391327,core2,16,4,300,evpwide,paper+wsplit0,wsplit0,0.0408,,,2,0,False,fab4919c,1786903093
1391935,core2,16,4,300,evpwide,paper+wsplit0,wsplit0,0.0413,0.0383,-7.26,0,0,False,0cad3289,1786907493
1391328,core2,32,8,300,evpwide,paper+wsplit0,wsplit0,0.0421,,,2,0,False,fab4919c,1786902960
1391936,core2,32,8,300,evpwide,paper+wsplit0,wsplit0,0.0421,0.0391,-7.13,0,0,False,0cad3289,1786907222
1391329,core2,64,16,300,evpwide,paper+wsplit0,wsplit0,0.0437,,,2,0,False,fab4919c,1786902833
1391937,core2,64,16,300,evpwide,paper+wsplit0,wsplit0,0.0434,0.04,-7.83,0,0,False,0cad3289,1786907221
1390909,core2,4,1,300,oati,paper+wsplit0,wsplit0,0.0449,0.0422,-6.01,0,0,False,fab4919c,1786897865
1391259,core2,8,2,300,oati,paper+wsplit0,wsplit0,0.0404,0.0375,-7.18,0,0,False,fab4919c,1786903001
1391260,core2,16,4,300,oati,paper+wsplit0,wsplit0,0.0414,0.0373,-9.9,0,0,False,fab4919c,1786902985
1391261,core2,32,8,300,oati,paper+wsplit0,wsplit0,0.0424,0.0371,-12.5,0,0,False,fab4919c,1786902851
1391262,core2,64,16,300,oati,paper+wsplit0,wsplit0,0.0437,0.038,-13.04,0,0,False,fab4919c,1786902850
1391263,core2,4,1,300,part,paper+wsplit0,wsplit0,0.0445,0.0439,-1.35,0,0,False,fab4919c,1786903033
1391264,core2,8,2,300,part,paper+wsplit0,wsplit0,0.0404,0.0413,2.23,0,0,False,fab4919c,1786903009
1391265,core2,16,4,300,part,paper+wsplit0,wsplit0,0.0418,0.0415,-0.72,0,0,False,fab4919c,1786902985
1391266,core2,32,8,300,part,paper+wsplit0,wsplit0,0.0425,0.0421,-0.94,0,0,False,fab4919c,1786902853
1391267,core2,64,16,300,part,paper+wsplit0,wsplit0,0.0435,0.0451,3.68,0,0,False,fab4919c,1786902854
1391349,core2,8,2,300,part+oati,paper+wsplit0,wsplit0,0.0403,0.0386,-4.22,0,0,False,fab4919c,1786903258
1391350,core2,32,8,300,part+oati,paper+wsplit0,wsplit0,0.0414,0.0362,-12.56,0,0,False,fab4919c,1786903104
1391351,core2,64,16,300,part+oati,paper+wsplit0,wsplit0,0.0439,0.039,-11.16,0,0,False,fab4919c,1786902852
1391288,core2,4,1,35,se,paper+wsplit0,wsplit0,,0.0374,,0,0,False,fab4919c,1786903039
1391309,core2,4,1,300,se,FESOM_ALE=zstar+wsplit0,wsplit0,0.0448,0.0363,-18.97,0,0,False,fab4919c,1786903282
1391973,core2,4,1,300,se,paper+wsplit0,wsplit0,0.0446,0.0368,-17.49,0,0,False,0cad3289,1786907698
1392095,core2,4,1,300,se,paper+wsplit0,wsplit0,0.0445,0.0338,-24.04,0,0,False,0cad3289,1786908710
1391310,core2,8,2,300,se,FESOM_ALE=zstar+wsplit0,wsplit0,0.0426,0.0321,-24.65,0,0,False,fab4919c,1786903123
1391974,core2,8,2,300,se,paper+wsplit0,wsplit0,0.0406,0.0319,-21.43,0,0,False,0cad3289,1786907495
1392096,core2,8,2,300,se,paper+wsplit0,wsplit0,0.0401,0.0288,-28.18,0,0,False,0cad3289,1786908669
1391311,core2,16,4,300,se,FESOM_ALE=zstar+wsplit0,wsplit0,0.0412,0.031,-24.76,0,0,False,fab4919c,1786903109
1391975,core2,16,4,300,se,paper+wsplit0,wsplit0,0.0415,0.0315,-24.1,0,0,False,0cad3289,1786907484
1392097,core2,16,4,300,se,paper+wsplit0,wsplit0,0.0411,0.0284,-30.9,0,0,False,0cad3289,1786908667
1391312,core2,32,8,300,se,FESOM_ALE=zstar+wsplit0,wsplit0,0.0425,0.0319,-24.94,0,0,False,fab4919c,1786902977
1391976,core2,32,8,300,se,paper+wsplit0,wsplit0,0.0419,0.031,-26.01,0,0,False,0cad3289,1786907350
1392098,core2,32,8,300,se,paper+wsplit0,wsplit0,0.042,0.0284,-32.38,0,0,False,0cad3289,1786908519
1391313,core2,64,16,300,se,FESOM_ALE=zstar+wsplit0,wsplit0,0.0439,0.0315,-28.25,0,0,False,fab4919c,1786902846
1391977,core2,64,16,300,se,paper+wsplit0,wsplit0,0.0436,0.0317,-27.29,0,0,False,0cad3289,1786907353
1392099,core2,64,16,300,se,paper+wsplit0,wsplit0,0.0433,0.028,-35.33,0,0,False,0cad3289,1786908519
1390999,dars,16,4,300,base,paper+wsplit1,wsplit1,0.1142,,,0,0,False,fab4919c,1786899532
1391000,dars,32,8,300,base,paper+wsplit1,wsplit1,0.0695,,,0,0,False,fab4919c,1786899376
1391001,dars,64,16,300,base,paper+wsplit1,wsplit1,0.0509,,,0,0,False,fab4919c,1786899107
1391002,dars,128,32,300,base,paper+wsplit1,wsplit1,0.0419,,,0,0,False,fab4919c,1786899061
1391229,dars,256,64,300,base,paper+wsplit1,wsplit1,0.0722,,,0,0,False,fab4919c,1786902087
1391230,dars,512,128,300,base,paper+wsplit1,wsplit1,0.0417,,,0,0,False,fab4919c,1786901054
1391336,dars,16,4,300,evpwide,paper+wsplit1,wsplit1,0.1138,,,2,0,False,fab4919c,1786903911
1391944,dars,16,4,300,evpwide,paper+wsplit1,wsplit1,0.1145,0.1118,-2.36,0,0,False,0cad3289,1786908390
